"Number of Fatalities, 2012","Rate of Fatalities, 2012","State Rank, Fatalities 2012",Number of Injuries/Illnesses 2012,Injuries/Illnesses 2012 Rate,Penalties FY 2013 (Average $),Penalties FY 2013 (Rank),Inspectors,Years to Inspect Each Workplace Once,State or Federal Program,state_name,location,ages,year,population,Abbreviation
146.0,3.5,25.0,75900.0,2.9,996.0,38.0,104.0,60.0,State,North Carolina,"(35.46622388600048, -79.15924924699965)",total,2012,9748364.0,NC
14.0,2.2,4.0,,,2243.0,8.0,7.0,119.0,Federal,New Hampshire,"(43.6559537330005, -71.50035726399966)",under18,2012,275818.0,NH
14.0,2.2,4.0,,,2243.0,8.0,7.0,119.0,Federal,New Hampshire,"(43.6559537330005, -71.50035726399966)",total,2012,1321617.0,NH
39.0,4.8,35.0,19900.0,3.9,998.0,37.0,9.0,191.0,State,New Mexico,"(34.52088247800049, -106.24057768899968)",under18,2012,512314.0,NM
39.0,4.8,35.0,19900.0,3.9,998.0,37.0,9.0,191.0,State,New Mexico,"(34.52088247800049, -106.24057768899968)",total,2012,2083540.0,NM
194.0,3.4,22.0,155300.0,3.9,1916.0,22.0,57.0,125.0,Federal,Pennsylvania,"(40.79373106100047, -77.86069775999965)",total,2012,12764475.0,PA
194.0,3.4,22.0,155300.0,3.9,1916.0,22.0,57.0,125.0,Federal,Pennsylvania,"(40.79373106100047, -77.86069775999965)",under18,2012,2737905.0,PA
31.0,6.7,45.0,,,2346.0,7.0,,521.0,Federal,South Dakota,"(44.35313342000046, -100.37352811899967)",under18,2012,205298.0,SD
31.0,6.7,45.0,,,2346.0,7.0,,521.0,Federal,South Dakota,"(44.35313342000046, -100.37352811899967)",total,2012,834047.0,SD
202.0,2.4,8.0,146300.0,2.5,2016.0,17.0,105.0,184.0,Federal,New York,"(42.82700023900048, -75.54396639699968)",total,2012,19576125.0,NY
202.0,2.4,8.0,146300.0,2.5,2016.0,17.0,105.0,184.0,Federal,New York,"(42.82700023900048, -75.54396639699968)",under18,2012,4264694.0,NY
39.0,3.0,17.0,27700.0,3.4,1053.0,35.0,22.0,81.0,State,Utah,"(39.36070374600047, -111.5871285339997)",total,2012,2854871.0,UT
39.0,3.0,17.0,27700.0,3.4,1053.0,35.0,22.0,81.0,State,Utah,"(39.36070374600047, -111.5871285339997)",under18,2012,888578.0,UT
19.0,3.2,20.0,21200.0,5.6,2083.0,14.0,8.0,80.0,Federal,Maine,"(45.254228663000504, -68.98502952999962)",under18,2012,264846.0,ME
19.0,3.2,20.0,21200.0,5.6,2083.0,14.0,8.0,80.0,Federal,Maine,"(45.254228663000504, -68.98502952999962)",total,2012,1328501.0,ME
34.0,7.3,47.0,13300.0,5.0,1983.0,18.0,7.0,135.0,Federal,Montana,"(47.066526051000494, -109.42441687999968)",total,2012,1005494.0,MT
34.0,7.3,47.0,13300.0,5.0,1983.0,18.0,7.0,135.0,Federal,Montana,"(47.066526051000494, -109.42441687999968)",under18,2012,222905.0,MT
11.0,3.5,25.0,9900.0,5.0,1008.0,36.0,9.0,68.0,State,Vermont,"(43.62538292400046, -72.51763944499965)",under18,2012,124555.0,VT
11.0,3.5,25.0,9900.0,5.0,1008.0,36.0,9.0,68.0,State,Vermont,"(43.62538292400046, -72.51763944499965)",total,2012,625953.0,VT
63.0,5.4,39.0,26600.0,3.2,2569.0,4.0,9.0,237.0,Federal,Arkansas,"(34.748651751000466, -92.27448794899965)",under18,2012,710471.0,AR
63.0,5.4,39.0,26600.0,3.2,2569.0,4.0,9.0,237.0,Federal,Arkansas,"(34.748651751000466, -92.27448794899965)",total,2012,2949828.0,AR
42.0,3.6,29.0,32400.0,4.1,2133.0,13.0,44.0,49.0,State,Nevada,"(39.49324126500045, -117.07183978499972)",total,2012,2754354.0,NV
42.0,3.6,29.0,32400.0,4.1,2133.0,13.0,44.0,49.0,State,Nevada,"(39.49324126500045, -117.07183978499972)",under18,2012,659655.0,NV
91.0,4.9,37.0,48900.0,4.1,3254.0,2.0,39.0,124.0,State,Kentucky,"(37.645973909000475, -84.77496612599964)",under18,2012,1017350.0,KY
91.0,4.9,37.0,48900.0,4.1,3254.0,2.0,39.0,124.0,State,Kentucky,"(37.645973909000475, -84.77496612599964)",total,2012,4379730.0,KY
72.0,2.6,12.0,51900.0,3.1,685.0,47.0,48.0,108.0,State,Maryland,"(39.2905806980005, -76.60925970899967)",total,2012,5884868.0,MD
72.0,2.6,12.0,51900.0,3.1,685.0,47.0,48.0,108.0,State,Maryland,"(39.2905806980005, -76.60925970899967)",under18,2012,1346235.0,MD
84.0,4.3,34.0,41200.0,3.3,1803.0,26.0,24.0,94.0,Federal,Alabama,"(32.84057327200048, -86.63185803899967)",under18,2012,1117489.0,AL
84.0,4.3,34.0,41200.0,3.3,1803.0,26.0,24.0,94.0,Federal,Alabama,"(32.84057327200048, -86.63185803899967)",total,2012,4817528.0,AL
36.0,2.1,3.0,43800.0,3.9,1735.0,30.0,24.0,107.0,Federal,Connecticut,"(41.56266394200048, -72.64983753699966)",under18,2012,794959.0,CT
